AgeGroup,Male_R,Female_R,Male_U,Female_U
0-4,21481,17644,712855,629220
005-009,23698,18896,805789,687589
10-14,25479,20404,869967,732297
15-19,24916,19451,900202,722806
20-24,23805,20602,927606,792047
25-29,20584,18666,857612,771464
30-34,17431,16402,740024,660842
35-39,16738,14910,681717,605879
40-44,14180,11782,576678,494557
45-49,10981,8695,484246,407291
50-54,7917,6430,368305,304817
55-59,5372,4927,263813,234780
60-64,5700,5924,232403,227992
65-69,3125,2998,136273,130056
70-74,2171,2147,92776,92156
75-79,980,1067,49466,49180
80+,1482,1540,52379,57630
