Class,2013-2014,2014-2015,2015-2016,2016-2017
Pre Primary School(B),99379,108775,114960,118208
Pre Primary School(G),91722,99247,100715,103889
Primary School(B),980954,1002103,1007287,990510
Primary School(G),850725,873419,879687,870612
Middle School(B),600410,596407,595565,602052
Middle School(G),516570,519146,524471,525327
Secondary School(B),350331,350191,370533,391554
Secondary School(G),294300,301952,321148,349377
Sr. Secondary School(B),317184,294802,267448,252761
Sr. Secondary School(G),284119,266975,249022,239044
