Institutions,2013-2014,2014-2015,2015-2016,2016-2017
Universities(B),0,0,0,0
Universities(G),1,1,1,1
Universities(Co-Edn.),10,10,11,11
Institutions deemed as Universities(B),0,0,0,0
Institutions deemed as Universities(G),0,0,0,0
Institutions deemed as Universities(Co-Edn.),12,12,12,11
Institutions of National Importance (B),0,0,0,0
Institutions of National Importance (G),0,0,0,0
Institutions of National Importance (Co-Edn.),3,3,3,4
Colleges for General Education(B),0,0,0,0
Colleges for General Education(G),24,24,24,24
Colleges for General Education(Co-Edn.),61,61,60,60
Colleges for Professional Education(B),0,0,0,0
Colleges for Professional Education(G),2,2,2,8
Colleges for Professional Education(Co-Edn),95,95,98,94
