Industries,at the beginning of the year,registered during the year,removed during the year,at the end of the year 
"Crop & Animals Production, Hunting & Related Service Activities",156,11,5,162
Manufacture of Food Products,783,40,4,819
Manufacture of Beverages,126,6,1,131
Manufacture of Tobacco Products,20,0,0,20
Manufacture of Textiles,1598,11,28,1581
Manufacture of Wearing Apparel,241,8,1,248
Manufacture of Leather & Related Products,85,2,0,87
"Manufacture of , Wood & Cork.Product Except Furniture; Mfr. of Articles of Straw & Plaiting Materials",116,1,0,117
Manufacture of Paper and Paper Products,157,6,0,163
Printing and Reproduction of Recorded Media,100,3,0,103
"Manufacture of Coke, Refined Petroleum Products",86,0,0,86
Manufacture of Chemicals and Chemical Products,351,15,3,363
"Manufacture of Pharmactiucals,Medical Chemical & Botanical products",129,1,2,409
Manufacture of Rubber and Plastic Products,385,26,2,409
Manufacture of other Non-Metallic Mineral Products,2566,127,7,2686
Manufacture of Basic Metals,671,32,1,702
Manufacture of Fabricated Metal Products Except Machinery & Equipment,320,8,4,324
"Manufacture of Computer,Electronic & Optical Products",80,2,0,276
Repair & Installation of Machinery Equipments,9,0,0,9
"Electricity, Gas, Steam & Air Conditioning Supply",341,12,0,353
"Water Collection,Treatment & Supply",19,0,0,19
"Wast Collection, Treatment & Disposal activities; Materials Recovery",5,2,0,7
Civil Engineering Work,1,0,0,1
Wholesale & Retail Trade & repair of Motor Vehicles & Motorcycles,233,14,0,247
Water Transport,2,0,0,2
Warehousing & Support Activities For Transportaion,28,2,0,30
total,9738,383,61,10060
